STATEFP,COUNTYFP,COUNTYNAME,period,scenario,extra_heat_days
13,13249,Schley,2065,high,52
13,13249,Schley,2099,low,54
13,13249,Schley,2099,high,84
13,13251,Screven,2045,low,30
13,13251,Screven,2045,high,32
13,13251,Screven,2065,low,43
13,13251,Screven,2065,high,51
13,13251,Screven,2099,low,52
13,13251,Screven,2099,high,81
13,13253,Seminole,2045,low,29
13,13253,Seminole,2045,high,32
13,13253,Seminole,2065,low,42
13,13253,Seminole,2065,high,50
13,13253,Seminole,2099,low,52
13,13253,Seminole,2099,high,82
13,13255,Spalding,2045,low,31
13,13255,Spalding,2045,high,35
13,13255,Spalding,2065,low,45
13,13255,Spalding,2065,high,54
13,13255,Spalding,2099,low,55
13,13255,Spalding,2099,high,87
13,13257,Stephens,2045,low,27
13,13257,Stephens,2045,high,31
13,13257,Stephens,2065,low,41
13,13257,Stephens,2065,high,51
13,13257,Stephens,2099,low,52
13,13257,Stephens,2099,high,85
13,13259,Stewart,2045,low,29
13,13259,Stewart,2045,high,32
13,13259,Stewart,2065,low,42
13,13259,Stewart,2065,high,51
13,13259,Stewart,2099,low,53
13,13259,Stewart,2099,high,84
13,13261,Sumter,2045,low,29
13,13261,Sumter,2045,high,31
13,13261,Sumter,2065,low,41
13,13261,Sumter,2065,high,49
13,13261,Sumter,2099,low,51
13,13261,Sumter,2099,high,81
13,13263,Talbot,2045,low,30
13,13263,Talbot,2045,high,33
13,13263,Talbot,2065,low,44
13,13263,Talbot,2065,high,53
13,13263,Talbot,2099,low,55
13,13263,Talbot,2099,high,86
13,13265,Taliaferro,2045,low,31
13,13265,Taliaferro,2045,high,33
13,13265,Taliaferro,2065,low,44
13,13265,Taliaferro,2065,high,52
13,13265,Taliaferro,2099,low,54
13,13265,Taliaferro,2099,high,83
13,13267,Tattnall,2045,low,31
13,13267,Tattnall,2045,high,33
13,13267,Tattnall,2065,low,43
13,13267,Tattnall,2065,high,51
13,13267,Tattnall,2099,low,52
13,13267,Tattnall,2099,high,81
13,13269,Taylor,2045,low,31
13,13269,Taylor,2045,high,33
13,13269,Taylor,2065,low,44
13,13269,Taylor,2065,high,52
13,13269,Taylor,2099,low,54
13,13269,Taylor,2099,high,85
13,13271,Telfair,2045,low,27
13,13271,Telfair,2045,high,29
13,13271,Telfair,2065,low,39
13,13271,Telfair,2065,high,47
13,13271,Telfair,2099,low,48
13,13271,Telfair,2099,high,77
13,13273,Terrell,2045,low,30
13,13273,Terrell,2045,high,32
13,13273,Terrell,2065,low,43
13,13273,Terrell,2065,high,50
13,13273,Terrell,2099,low,52
13,13273,Terrell,2099,high,82
13,13275,Thomas,2045,low,31
13,13275,Thomas,2045,high,34
13,13275,Thomas,2065,low,44
13,13275,Thomas,2065,high,53
