"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Heat Metric","Absolute Threshold"
"13","Georgia","13009","Baldwin","2006","80","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2007","80","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2008","73","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2009","104","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2010","98","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2011","114","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2012","89","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2013","28","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2014","102","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2015","71","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2016","95","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2017","63","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2018","98","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2019","115","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2020","70","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2021","68","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1979","8","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1980","31","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1981","35","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1982","4","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
